DATOS HORARIOS 2023_FACULTAD DE MEDICINA ,,,
NOTA,LOS DATOS SON PREVALIDOS,,
,,,
MES,DIA,HORA,PM10(µg/m3)
NOVIEMBRE,10,17,34
NOVIEMBRE,10,18,62
NOVIEMBRE,10,19,38
NOVIEMBRE,10,20,16
NOVIEMBRE,10,21,13
NOVIEMBRE,10,22,11
NOVIEMBRE,10,23,13
NOVIEMBRE,11,0,22
NOVIEMBRE,11,1,27
NOVIEMBRE,11,2,22
NOVIEMBRE,11,3,19
NOVIEMBRE,11,4,21
NOVIEMBRE,11,5,23
NOVIEMBRE,11,6,21
NOVIEMBRE,11,7,27
NOVIEMBRE,11,8,26
NOVIEMBRE,11,9,42
NOVIEMBRE,11,10,38
NOVIEMBRE,11,11,33
NOVIEMBRE,11,12,47
NOVIEMBRE,11,13,39
NOVIEMBRE,11,14,29
NOVIEMBRE,11,15,26
NOVIEMBRE,11,16,32
NOVIEMBRE,11,17,31
NOVIEMBRE,11,18,20
NOVIEMBRE,11,19,22
NOVIEMBRE,11,20,28
NOVIEMBRE,11,21,27
NOVIEMBRE,11,22,26
NOVIEMBRE,11,23,21
NOVIEMBRE,12,0,7
NOVIEMBRE,12,1,9
NOVIEMBRE,12,2,10
NOVIEMBRE,12,3,6
NOVIEMBRE,12,4,4
NOVIEMBRE,12,5,6
NOVIEMBRE,12,6,11
NOVIEMBRE,12,7,9
NOVIEMBRE,12,8,10
NOVIEMBRE,12,9,11
NOVIEMBRE,12,10,9
NOVIEMBRE,12,11,17
NOVIEMBRE,12,12,15
NOVIEMBRE,12,13,17
NOVIEMBRE,12,14,14
NOVIEMBRE,12,15,17
NOVIEMBRE,12,16,18
NOVIEMBRE,12,17,16
NOVIEMBRE,12,18,20
NOVIEMBRE,12,19,16
NOVIEMBRE,12,20,33
NOVIEMBRE,12,21,33
NOVIEMBRE,12,22,19
NOVIEMBRE,12,23,16
NOVIEMBRE,13,0,13
NOVIEMBRE,13,1,12
NOVIEMBRE,13,2,20
NOVIEMBRE,13,3,15
NOVIEMBRE,13,4,9
NOVIEMBRE,13,5,10
NOVIEMBRE,13,6,11
NOVIEMBRE,13,7,12
NOVIEMBRE,13,8,17
NOVIEMBRE,13,9,20
NOVIEMBRE,13,10,25
NOVIEMBRE,13,11,26
NOVIEMBRE,13,12,23
NOVIEMBRE,13,13,23
NOVIEMBRE,13,14,28
NOVIEMBRE,13,15,32
NOVIEMBRE,13,16,33
NOVIEMBRE,13,17,35
NOVIEMBRE,13,18,25
NOVIEMBRE,13,19,31
NOVIEMBRE,13,20,24
NOVIEMBRE,13,21,23
NOVIEMBRE,13,22,22
NOVIEMBRE,13,23,17
NOVIEMBRE,14,0,11
NOVIEMBRE,14,1,12
NOVIEMBRE,14,2,24
NOVIEMBRE,14,3,18
NOVIEMBRE,14,4,14
NOVIEMBRE,14,5,10
NOVIEMBRE,14,6,17
NOVIEMBRE,14,7,16
NOVIEMBRE,14,8,15
NOVIEMBRE,14,9,26
NOVIEMBRE,14,10,28
NOVIEMBRE,14,11,30
NOVIEMBRE,14,12,24
NOVIEMBRE,14,13,27
NOVIEMBRE,14,14,21
NOVIEMBRE,14,15,30
NOVIEMBRE,14,16,29
NOVIEMBRE,14,17,40
NOVIEMBRE,14,18,37
NOVIEMBRE,14,19,19
NOVIEMBRE,14,20,27
NOVIEMBRE,14,21,28
NOVIEMBRE,14,22,20
NOVIEMBRE,14,23,18
NOVIEMBRE,15,0,17
NOVIEMBRE,15,1,13
NOVIEMBRE,15,2,12
NOVIEMBRE,15,3,13
NOVIEMBRE,15,4,11
NOVIEMBRE,15,5,10
NOVIEMBRE,15,6,12
NOVIEMBRE,15,7,12
NOVIEMBRE,15,8,19
NOVIEMBRE,15,9,32
NOVIEMBRE,15,10,49
NOVIEMBRE,15,11,46
NOVIEMBRE,15,12,37
NOVIEMBRE,15,13,38
NOVIEMBRE,15,14,28
NOVIEMBRE,15,15,24
NOVIEMBRE,15,16,27
NOVIEMBRE,15,17,24
NOVIEMBRE,15,18,13
NOVIEMBRE,15,19,27
NOVIEMBRE,15,20,21
NOVIEMBRE,15,21,17
NOVIEMBRE,15,22,19
NOVIEMBRE,15,23,36
NOVIEMBRE,16,0,24
NOVIEMBRE,16,1,16
NOVIEMBRE,16,2,13
NOVIEMBRE,16,3,20
NOVIEMBRE,16,4,12
NOVIEMBRE,16,5,14
NOVIEMBRE,16,6,16
NOVIEMBRE,16,7,23
NOVIEMBRE,16,8,45
NOVIEMBRE,16,9,42
NOVIEMBRE,16,10,35
NOVIEMBRE,16,11,34
NOVIEMBRE,16,12,35
NOVIEMBRE,16,13,27
NOVIEMBRE,16,14,16
NOVIEMBRE,16,15,23
NOVIEMBRE,16,16,17
NOVIEMBRE,16,17,20
NOVIEMBRE,16,18,23
NOVIEMBRE,16,19,32
NOVIEMBRE,16,20,50
NOVIEMBRE,16,21,41
NOVIEMBRE,16,22,36
NOVIEMBRE,16,23,50
NOVIEMBRE,17,0,26
NOVIEMBRE,17,1,17
NOVIEMBRE,17,2,41
NOVIEMBRE,17,3,42
NOVIEMBRE,17,4,38
NOVIEMBRE,17,5,19
NOVIEMBRE,17,6,15
NOVIEMBRE,17,7,26
NOVIEMBRE,17,8,53
NOVIEMBRE,17,9,50
NOVIEMBRE,17,10,57
NOVIEMBRE,17,11,50
NOVIEMBRE,17,12,37
NOVIEMBRE,17,13,29
NOVIEMBRE,17,14,22
NOVIEMBRE,17,15,25
NOVIEMBRE,17,16,24
NOVIEMBRE,17,17,19
NOVIEMBRE,17,18,21
NOVIEMBRE,17,19,35
NOVIEMBRE,17,20,41
NOVIEMBRE,17,21,19
NOVIEMBRE,17,22,30
NOVIEMBRE,17,23,24
NOVIEMBRE,18,0,25
NOVIEMBRE,18,1,39
NOVIEMBRE,18,2,40
NOVIEMBRE,18,3,40
NOVIEMBRE,18,4,44
NOVIEMBRE,18,5,21
NOVIEMBRE,18,6,26
NOVIEMBRE,18,7,23
NOVIEMBRE,18,8,49
NOVIEMBRE,18,9,37
NOVIEMBRE,18,10,60
NOVIEMBRE,18,11,54
NOVIEMBRE,18,12,35
NOVIEMBRE,18,13,37
NOVIEMBRE,18,14,29
NOVIEMBRE,18,15,31
NOVIEMBRE,18,16,21
NOVIEMBRE,18,17,23
NOVIEMBRE,18,18,29
NOVIEMBRE,18,19,49
NOVIEMBRE,18,20,32
NOVIEMBRE,18,21,29
NOVIEMBRE,18,22,32
NOVIEMBRE,18,23,22
NOVIEMBRE,19,0,47
NOVIEMBRE,19,1,36
NOVIEMBRE,19,2,23
NOVIEMBRE,19,3,21
NOVIEMBRE,19,4,19
NOVIEMBRE,19,5,18
NOVIEMBRE,19,6,20
NOVIEMBRE,19,7,22
NOVIEMBRE,19,8,29
NOVIEMBRE,19,9,34
NOVIEMBRE,19,10,34
NOVIEMBRE,19,11,33
NOVIEMBRE,19,12,40
NOVIEMBRE,19,13,42
NOVIEMBRE,19,14,40
NOVIEMBRE,19,15,27
NOVIEMBRE,19,16,25
NOVIEMBRE,19,17,29
NOVIEMBRE,19,18,27
NOVIEMBRE,19,19,41
NOVIEMBRE,19,20,41
NOVIEMBRE,19,21,37
NOVIEMBRE,19,22,34
NOVIEMBRE,19,23,23
NOVIEMBRE,20,0,37
NOVIEMBRE,20,1,26
NOVIEMBRE,20,2,32
NOVIEMBRE,20,3,20
NOVIEMBRE,20,4,18
NOVIEMBRE,20,5,16
NOVIEMBRE,20,6,12
NOVIEMBRE,20,7,31
NOVIEMBRE,20,8,35
NOVIEMBRE,20,9,37
NOVIEMBRE,20,10,33
NOVIEMBRE,20,11,32
NOVIEMBRE,20,12,38
NOVIEMBRE,20,13,26
NOVIEMBRE,20,14,18
NOVIEMBRE,20,15,16
NOVIEMBRE,20,16,19
NOVIEMBRE,20,17,21
NOVIEMBRE,20,18,29
NOVIEMBRE,20,19,37
NOVIEMBRE,20,20,40
NOVIEMBRE,20,21,48
NOVIEMBRE,20,22,31
NOVIEMBRE,20,23,18
NOVIEMBRE,21,0,23
NOVIEMBRE,21,1,23
NOVIEMBRE,21,2,15
NOVIEMBRE,21,3,19
NOVIEMBRE,21,4,16
NOVIEMBRE,21,5,7
NOVIEMBRE,21,6,10
NOVIEMBRE,21,7,17
NOVIEMBRE,21,8,44
NOVIEMBRE,21,9,58
NOVIEMBRE,21,10,58
NOVIEMBRE,21,11,32
NOVIEMBRE,21,12,53
NOVIEMBRE,21,13,NA
NOVIEMBRE,21,14,NA
NOVIEMBRE,21,15,NA
NOVIEMBRE,21,16,34
NOVIEMBRE,21,17,43
NOVIEMBRE,21,18,55
NOVIEMBRE,21,19,69
NOVIEMBRE,21,20,67
NOVIEMBRE,21,21,37
NOVIEMBRE,21,22,31
NOVIEMBRE,21,23,28
NOVIEMBRE,22,0,19
NOVIEMBRE,22,1,19
NOVIEMBRE,22,2,14
NOVIEMBRE,22,3,12
NOVIEMBRE,22,4,13
NOVIEMBRE,22,5,16
NOVIEMBRE,22,6,16
NOVIEMBRE,22,7,15
NOVIEMBRE,22,8,24
NOVIEMBRE,22,9,35
NOVIEMBRE,22,10,47
NOVIEMBRE,22,11,25
NOVIEMBRE,22,12,35
NOVIEMBRE,22,13,36
NOVIEMBRE,22,14,38
NOVIEMBRE,22,15,38
NOVIEMBRE,22,16,37
NOVIEMBRE,22,17,42
NOVIEMBRE,22,18,44
NOVIEMBRE,22,19,40
NOVIEMBRE,22,20,31
NOVIEMBRE,22,21,25
NOVIEMBRE,22,22,21
NOVIEMBRE,22,23,24
NOVIEMBRE,23,0,25
NOVIEMBRE,23,1,28
NOVIEMBRE,23,2,32
NOVIEMBRE,23,3,26
NOVIEMBRE,23,4,25
NOVIEMBRE,23,5,25
NOVIEMBRE,23,6,25
NOVIEMBRE,23,7,32
NOVIEMBRE,23,8,50
NOVIEMBRE,23,9,64
NOVIEMBRE,23,10,47
NOVIEMBRE,23,11,31
NOVIEMBRE,23,12,23
NOVIEMBRE,23,13,28
NOVIEMBRE,23,14,15
NOVIEMBRE,23,15,21
NOVIEMBRE,23,16,16
NOVIEMBRE,23,17,22
NOVIEMBRE,23,18,26
NOVIEMBRE,23,19,36
NOVIEMBRE,23,20,38
NOVIEMBRE,23,21,41
NOVIEMBRE,23,22,25
NOVIEMBRE,23,23,14
NOVIEMBRE,24,0,16
NOVIEMBRE,24,1,19
NOVIEMBRE,24,2,15
NOVIEMBRE,24,3,19
NOVIEMBRE,24,4,16
NOVIEMBRE,24,5,15
NOVIEMBRE,24,6,8
NOVIEMBRE,24,7,12
NOVIEMBRE,24,8,29
NOVIEMBRE,24,9,54
NOVIEMBRE,24,10,37
NOVIEMBRE,24,11,29
NOVIEMBRE,24,12,22
NOVIEMBRE,24,13,21
NOVIEMBRE,24,14,23
NOVIEMBRE,24,15,23
NOVIEMBRE,24,16,11
NOVIEMBRE,24,17,21
NOVIEMBRE,24,18,31
NOVIEMBRE,24,19,62
NOVIEMBRE,24,20,100
NOVIEMBRE,24,21,47
NOVIEMBRE,24,22,41
NOVIEMBRE,24,23,36
NOVIEMBRE,25,0,21
NOVIEMBRE,25,1,23
NOVIEMBRE,25,2,24
NOVIEMBRE,25,3,19
NOVIEMBRE,25,4,24
NOVIEMBRE,25,5,36
NOVIEMBRE,25,6,29
NOVIEMBRE,25,7,29
NOVIEMBRE,25,8,38
NOVIEMBRE,25,9,47
NOVIEMBRE,25,10,54
NOVIEMBRE,25,11,71
NOVIEMBRE,25,12,46
NOVIEMBRE,25,13,35
NOVIEMBRE,25,14,26
NOVIEMBRE,25,15,26
NOVIEMBRE,25,16,20
NOVIEMBRE,25,17,19
NOVIEMBRE,25,18,18
NOVIEMBRE,25,19,34
NOVIEMBRE,25,20,55
NOVIEMBRE,25,21,63
NOVIEMBRE,25,22,38
NOVIEMBRE,25,23,71
NOVIEMBRE,26,0,80
NOVIEMBRE,26,1,42
NOVIEMBRE,26,2,19
NOVIEMBRE,26,3,19
NOVIEMBRE,26,4,15
NOVIEMBRE,26,5,12
NOVIEMBRE,26,6,8
NOVIEMBRE,26,7,10
NOVIEMBRE,26,8,20
NOVIEMBRE,26,9,46
NOVIEMBRE,26,10,37
NOVIEMBRE,26,11,20
NOVIEMBRE,26,12,18
NOVIEMBRE,26,13,9
NOVIEMBRE,26,14,7
NOVIEMBRE,26,15,8
NOVIEMBRE,26,16,10
NOVIEMBRE,26,17,22
NOVIEMBRE,26,18,21
NOVIEMBRE,26,19,48
NOVIEMBRE,26,20,84
NOVIEMBRE,26,21,44
NOVIEMBRE,26,22,43
NOVIEMBRE,26,23,32
NOVIEMBRE,27,0,20
NOVIEMBRE,27,1,27
NOVIEMBRE,27,2,21
NOVIEMBRE,27,3,21
NOVIEMBRE,27,4,44
NOVIEMBRE,27,5,38
NOVIEMBRE,27,6,26
NOVIEMBRE,27,7,33
NOVIEMBRE,27,8,54
NOVIEMBRE,27,9,85
NOVIEMBRE,27,10,84
NOVIEMBRE,27,11,65
NOVIEMBRE,27,12,55
NOVIEMBRE,27,13,37
NOVIEMBRE,27,14,34
NOVIEMBRE,27,15,32
NOVIEMBRE,27,16,32
NOVIEMBRE,27,17,43
NOVIEMBRE,27,18,54
NOVIEMBRE,27,19,42
NOVIEMBRE,27,20,36
NOVIEMBRE,27,21,52
NOVIEMBRE,27,22,64
NOVIEMBRE,27,23,46
NOVIEMBRE,28,0,47
NOVIEMBRE,28,1,49
NOVIEMBRE,28,2,37
NOVIEMBRE,28,3,35
NOVIEMBRE,28,4,34
NOVIEMBRE,28,5,30
NOVIEMBRE,28,6,41
NOVIEMBRE,28,7,32
NOVIEMBRE,28,8,44
NOVIEMBRE,28,9,54
NOVIEMBRE,28,10,58
NOVIEMBRE,28,11,44
NOVIEMBRE,28,12,54
NOVIEMBRE,28,13,34
NOVIEMBRE,28,14,36
NOVIEMBRE,28,15,34
NOVIEMBRE,28,16,23
NOVIEMBRE,28,17,31
NOVIEMBRE,28,18,45
NOVIEMBRE,28,19,47
NOVIEMBRE,28,20,70
NOVIEMBRE,28,21,38
NOVIEMBRE,28,22,33
NOVIEMBRE,28,23,23
NOVIEMBRE,29,0,23
NOVIEMBRE,29,1,16
NOVIEMBRE,29,2,26
NOVIEMBRE,29,3,19
NOVIEMBRE,29,4,17
NOVIEMBRE,29,5,10
NOVIEMBRE,29,6,13
NOVIEMBRE,29,7,22
NOVIEMBRE,29,8,32
NOVIEMBRE,29,9,64
NOVIEMBRE,29,10,37
NOVIEMBRE,29,11,44
NOVIEMBRE,29,12,34
NOVIEMBRE,29,13,35
NOVIEMBRE,29,14,36
NOVIEMBRE,29,15,32
NOVIEMBRE,29,16,23
NOVIEMBRE,29,17,26
NOVIEMBRE,29,18,48
NOVIEMBRE,29,19,44
NOVIEMBRE,29,20,36
NOVIEMBRE,29,21,31
NOVIEMBRE,29,22,34
NOVIEMBRE,29,23,23
NOVIEMBRE,30,0,18
NOVIEMBRE,30,1,14
NOVIEMBRE,30,2,19
NOVIEMBRE,30,3,10
NOVIEMBRE,30,4,7
NOVIEMBRE,30,5,8
NOVIEMBRE,30,6,10
NOVIEMBRE,30,7,9
NOVIEMBRE,30,8,12
NOVIEMBRE,30,9,21
NOVIEMBRE,30,10,23
NOVIEMBRE,30,11,24
NOVIEMBRE,30,12,28
NOVIEMBRE,30,13,20
NOVIEMBRE,30,14,23
NOVIEMBRE,30,15,24
NOVIEMBRE,30,16,21
NOVIEMBRE,30,17,27
NOVIEMBRE,30,18,28
NOVIEMBRE,30,19,23
NOVIEMBRE,30,20,22
NOVIEMBRE,30,21,37
NOVIEMBRE,30,22,31
NOVIEMBRE,30,23,42
