DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
DIC,5,10,0.0133,0.0089,0.460,0.0346,36,13,18.2,1.5,217,64,618.4
DIC,5,11,0.0169,0.009,0.360,0.0295,28,8,19.3,2.2,213,59,618.3
DIC,5,12,0.0209,0.009,0.320,0.0263,24,9,20.8,2.4,210,50,617.8
DIC,5,13,0.0216,0.009,0.310,0.0249,23,NA,22.1,2.4,210,44,617
DIC,5,14,0.0207,0.0091,0.330,0.0238,18,7,23,2.7,237,36,616.2
DIC,5,15,0.0222,0.0089,0.360,0.0214,23,7,23.4,2.4,250,33,615.6
DIC,5,16,0.0235,0.0088,0.350,0.0203,21,5,23.3,2.2,246,34,615.3
DIC,5,17,0.0223,0.0088,0.380,0.0218,22,10,22.9,2.4,276,36,615.2
DIC,5,18,0.0202,0.0085,0.490,0.0252,21,8,22.3,2.1,285,38,615.5
DIC,5,19,0.02,0.0085,0.500,0.0284,29,11,21.4,2.2,297,41,615.9
DIC,5,20,0.0168,0.0085,0.630,0.035,34,12,20.1,1.4,269,46,616.3
DIC,5,21,0.0107,0.0085,0.630,0.0397,25,10,18.8,1.7,200,53,616.9
DIC,5,22,0.0194,0.0084,0.380,0.0272,41,6,17.1,2.2,200,62,617.3
DIC,5,23,0.0166,0.0083,0.410,0.03,12,9,17.2,1.4,270,60,617.3
DIC,6,0,0.0144,0.0082,0.430,0.0301,12,4,16.6,0.7,175,63,617.2
DIC,6,1,0.0103,0.008,0.440,0.0313,9,4,16,0.8,192,65,617
DIC,6,2,0.0087,0.0078,0.430,0.0299,11,7,15.3,0.6,142,66,616.9
DIC,6,3,0.0088,0.008,0.420,0.0281,10,NA,15.4,0.7,161,64,616.9
DIC,6,4,0.0116,0.0079,0.320,0.022,8,6,15,0.5,85,69,616.7
DIC,6,5,0.0089,0.008,0.370,0.0229,6,6,15,0.4,96,71,616.5
DIC,6,6,0.0069,0.0081,0.430,0.0256,10,6,15.1,0.5,172,73,616.6
DIC,6,7,0.0081,0.0081,0.390,0.0236,11,14,14.7,0.9,246,76,616.9
DIC,6,8,0.0074,0.0082,0.440,0.0247,8,6,14.6,0.6,208,78,617.1
DIC,6,9,0.0084,0.0081,0.650,0.0302,15,7,16.2,0.6,223,71,617.4
DIC,6,10,0.0071,0.0086,0.740,0.0369,30,16,17.3,0.7,223,67,617.6
DIC,6,11,0.0138,0.0081,0.410,0.0272,31,10,17.6,1,220,66,617.7
DIC,6,12,0.0158,0.0083,0.350,0.0265,22,NA,18.3,1,185,64,617.3
DIC,6,13,0.0196,0.0082,0.340,0.0256,20,9,18.7,1.1,163,61,616.6
DIC,6,14,0.0216,0.0082,0.370,0.0263,24,9,18.9,0.9,196,60,616.1
DIC,6,15,0.0187,0.0084,0.380,0.0268,27,14,19,2.3,289,58,615.7
DIC,6,16,0.0174,0.0082,0.320,0.0246,27,8,19,2.8,302,54,615.6
DIC,6,17,0.0175,0.0082,0.300,0.0218,14,NA,19.1,2.4,309,51,615.7
DIC,6,18,0.016,0.0081,0.320,0.0206,10,8,18.8,1.6,286,51,616
DIC,6,19,0.013,0.008,0.390,0.0226,10,4,18.5,1,205,51,616.4
DIC,6,20,0.0114,0.0079,0.410,0.0241,15,10,18.1,1.4,264,52,616.8
DIC,6,21,0.0098,0.0079,0.490,0.0256,18,5,17.8,0.6,204,54,617.2
DIC,6,22,0.007,0.0081,0.490,0.028,15,7,17.3,0.8,277,56,617.4
DIC,6,23,0.0062,0.0079,0.470,0.0289,16,6,17.2,0.4,268,56,617.7
DIC,7,0,0.0028,0.0088,0.750,0.0352,14,14,16.8,0.7,243,62,617.9
DIC,7,1,0.0053,0.0086,0.390,0.0297,35,11,15.5,1.1,280,67,617.6
DIC,7,2,0.0099,0.0085,0.280,0.0249,23,9,15.3,0.7,252,68,617.4
DIC,7,3,0.0089,0.0085,0.320,0.0292,12,NA,15.4,0.5,225,66,617.4
DIC,7,4,0.0053,0.0089,0.340,0.0343,20,8,15,0.7,240,70,617.3
DIC,7,5,0.0074,0.0089,0.320,0.0312,21,9,14.7,0.9,187,68,617.2
DIC,7,6,0.0034,0.0094,0.330,0.0369,20,11,14.2,0.5,224,66,617.4
DIC,7,7,0.0071,0.0099,0.340,0.0334,24,11,14.3,0.5,246,62,617.8
DIC,7,8,0.0067,0.0106,0.480,0.036,24,13,14.3,0.4,183,62,618
DIC,7,9,0.0035,0.0111,0.770,0.0415,31,16,14.3,1.3,209,61,618.6
DIC,7,10,0.0084,0.011,0.580,0.0377,52,11,15.5,1.1,188,55,619
DIC,7,11,0.0127,0.0106,0.520,0.0379,36,11,16.2,1.3,231,54,619.1
DIC,7,12,0.0139,0.01,0.460,0.0395,46,15,16.6,0.8,174,50,619
DIC,7,13,0.0185,0.0095,0.410,0.0343,51,12,16.6,0.9,211,53,618.5
DIC,7,14,0.0221,0.0094,0.510,0.0343,39,7,18.1,0.9,246,47,617.7
DIC,7,15,0.0325,0.0092,0.570,0.0353,48,3,20.2,1.1,254,41,617
DIC,7,16,0.0389,0.009,0.450,0.0304,53,19,20.9,0.9,219,38,616.9
DIC,7,17,0.0333,0.0091,0.500,0.0304,38,15,20.4,1.3,230,43,616.9
DIC,7,18,0.019,0.0092,0.480,0.0314,51,20,19.2,1.9,287,47,617.1
DIC,7,19,0.0144,0.0092,0.540,0.0326,40,14,18.5,2,288,48,617.5
DIC,7,20,0.0134,0.0094,0.530,0.0322,34,7,17.8,1.1,123,48,618
DIC,7,21,0.0112,0.0095,0.570,0.0334,31,7,17.2,1.3,285,50,618.4
DIC,7,22,0.0136,0.009,0.460,0.0289,33,9,17.1,1.7,313,51,618.8
DIC,7,23,0.0162,0.0088,0.380,0.0236,19,6,16.9,1.1,300,51,618.9
DIC,8,0,0.009,0.0088,0.540,0.0328,19,10,16.7,0.7,234,52,618.9
DIC,8,1,0.0054,0.009,0.500,0.036,35,20,16.2,1.3,208,53,618.8
DIC,8,2,0.0084,0.0087,0.380,0.0308,40,13,16,0.6,214,55,618.7
DIC,8,3,0.0103,0.0086,0.320,0.0287,30,9,15.7,1.2,207,57,618.4
DIC,8,4,0.0053,0.009,0.320,0.0373,35,13,15.2,0.7,217,60,618.3
DIC,8,5,0.0079,0.009,0.360,0.0332,27,12,15,0.2,103,61,618.4
DIC,8,6,0.0052,0.0098,0.400,0.0377,30,9,14.7,0.7,275,64,618.8
DIC,8,7,0.0044,0.0098,0.470,0.0407,30,15,14.1,0.3,173,64,619
DIC,8,8,0.003,0.0099,0.730,0.0402,22,13,13.8,0.4,198,66,619.4
DIC,8,9,0.0045,0.0097,0.890,0.0417,42,5,15.7,0.4,214,60,619.9
DIC,8,10,0.007,0.0101,0.880,0.048,52,21,15.8,0.7,188,56,620.2
DIC,8,11,0.0154,0.0102,1.010,0.0525,69,12,18.6,0.8,216,48,619.9
DIC,8,12,0.0253,0.01,0.620,0.0426,66,25,19.8,1.8,213,44,619.7
DIC,8,13,0.0288,0.01,0.450,0.033,65,11,21.5,1.4,174,38,619.1
DIC,8,14,0.0351,0.01,0.400,0.0305,41,10,23.1,1.3,152,35,618.3
DIC,8,15,0.0368,0.0096,0.340,0.0269,43,11,23.7,1,184,32,617.6
DIC,8,16,0.0355,0.0091,0.410,0.0254,35,12,24.1,1.2,150,31,617.3
DIC,8,17,0.0345,0.0091,0.390,0.0236,NA,19,23.4,0.9,226,32,617.3
DIC,8,18,0.0227,0.0092,0.550,0.0296,38,12,22.5,1.8,75,34,617.6
DIC,8,19,0.0146,0.0089,0.690,0.0315,41,9,21.7,1.3,62,36,618
DIC,8,20,0.0114,0.0092,0.700,0.0344,37,9,21.1,1.2,259,37,618.5
DIC,8,21,0.0111,0.009,0.630,0.0326,42,8,20.2,0.9,278,40,618.8
DIC,8,22,0.0151,0.0087,0.440,0.027,34,7,19.1,1.8,318,41,619.4
DIC,8,23,0.0166,0.0088,0.370,0.0236,23,4,18.4,1.8,319,42,619.8
DIC,9,0,0.0182,0.0085,0.310,0.0195,17,5,18.1,1.1,291,42,619.9
DIC,9,1,0.0119,0.0087,0.310,0.0249,14,15,16.3,1.3,228,46,619.9
DIC,9,2,0.0125,0.0088,0.300,0.0229,32,5,15.6,0.3,162,47,619.7
DIC,9,3,0.0098,0.0088,0.290,0.025,22,9,15.5,0.7,262,47,619.4
DIC,9,4,0.0175,0.0085,0.230,0.0196,17,6,15.3,0.8,225,44,619.2
DIC,9,5,0.0206,0.0083,0.230,0.017,9,NA,14.4,0.3,210,45,619.2
DIC,9,6,0.0106,0.0088,0.290,0.0296,10,11,13.8,1,208,48,619.3
DIC,9,7,0.0057,0.0089,0.410,0.0333,18,9,13.2,0.5,214,52,619.7
DIC,9,8,0.0028,0.0096,0.870,0.0392,22,11,12.8,0.5,64,54,620.3
DIC,9,9,0.0058,0.0134,0.920,0.0401,51,5,14.9,0.6,82,48,620.7
DIC,9,10,0.0127,0.0104,0.860,0.0414,48,8,17.7,0.5,186,39,620.7
DIC,9,11,0.024,0.0094,0.760,0.0392,45,11,18.9,0.8,203,34,620.5
DIC,9,12,0.0299,0.0094,0.640,0.0388,37,14,20.6,1.1,186,30,620
DIC,9,13,0.0341,0.0091,0.460,0.0279,56,11,22.1,1.2,191,28,619.3
DIC,9,14,0.0379,0.009,0.360,0.0246,40,4,23.4,1.3,177,28,618.1
DIC,9,15,0.0371,0.0089,0.330,0.0211,40,11,24.4,1.6,200,28,617.1
DIC,9,16,0.0359,0.0089,0.380,0.0212,40,7,24.9,1.3,188,27,616.8
DIC,9,17,0.0368,0.009,0.360,0.0196,28,15,24.8,1.4,213,27,616.7
DIC,9,18,0.0339,0.0092,0.470,0.0209,33,15,24.1,1.1,229,29,616.7
DIC,9,19,0.0166,0.0111,1.190,0.0447,38,24,22.7,0.5,251,32,616.8
DIC,9,20,0.0028,0.0133,2.140,0.0577,53,24,21.1,0.6,211,37,617.2
DIC,9,21,0.0047,0.0108,1.160,0.0523,113,27,19.1,1,193,42,617.5
DIC,9,22,0.0132,0.009,0.620,0.0385,89,18,19.3,1.1,302,35,617.7
DIC,9,23,0.0127,0.0085,0.560,0.035,38,13,19,0.6,310,33,617.9
DIC,10,0,0.0119,0.0088,0.640,0.0341,22,6,18,0.3,247,35,617.8
DIC,10,1,0.0081,0.0093,0.720,0.0396,22,9,16.9,1,179,40,617.9
DIC,10,2,0.0099,0.0091,0.490,0.0354,66,27,16.3,0.9,157,40,618
DIC,10,3,0.004,0.0095,0.580,0.0453,48,25,15.1,0.7,173,45,617.8
DIC,10,4,0.0126,0.0089,0.360,0.0316,60,16,14.1,1.1,219,47,617.6
DIC,10,5,0.0149,0.0086,0.340,0.0282,31,12,13.5,0.7,189,48,617.5
DIC,10,6,0.0137,0.0086,0.360,0.027,24,10,12.8,0.8,214,50,617.7
DIC,10,7,0.0138,0.0084,0.390,0.0263,19,5,12.8,1.1,251,49,617.9
DIC,10,8,0.0076,0.0089,0.670,0.0341,24,11,13.1,0.9,188,48,618.1
DIC,10,9,0.0068,0.0112,0.910,0.0363,38,5,15.3,0.8,221,43,618.4
DIC,10,10,0.0102,0.0154,1.060,0.0445,57,13,18.8,0.6,118,35,618.7
DIC,10,11,0.024,0.01,0.790,0.0357,84,13,20.5,1.1,160,34,618.6
DIC,10,12,0.0303,0.0103,0.760,0.039,50,22,21.6,1.3,180,40,618.2
DIC,10,13,0.0361,0.01,0.480,0.0294,75,21,22.6,1.4,186,44,617.7
DIC,10,14,0.0352,0.0099,0.400,0.0266,53,18,23.8,1.8,197,42,616.7
DIC,10,15,0.0323,0.0097,0.450,0.027,45,22,23.9,2,208,42,616
DIC,10,16,0.0317,0.0095,0.530,0.0286,37,16,24,1.5,197,42,615.7
DIC,10,17,0.0282,0.0095,0.450,0.0272,44,24,23.6,1.2,261,41,615.6
DIC,10,18,0.0247,0.0094,0.580,0.0289,37,12,23.6,1.2,281,41,615.6
DIC,10,19,0.0194,0.0093,0.640,0.0319,43,12,22.9,2.2,274,40,615.9
DIC,10,20,0.015,0.0091,0.840,0.0406,42,17,21.8,1.8,289,42,616.5
DIC,10,21,0.0226,0.009,0.650,0.0334,53,16,20.4,1.6,294,44,616.9
DIC,10,22,0.0201,0.0088,0.570,0.0343,60,15,19.3,1.1,236,46,617.1
DIC,10,23,0.0165,0.009,0.520,0.0355,41,13,18.2,0.5,124,50,617.3
DIC,11,0,0.0162,0.0087,0.510,0.0328,26,11,17.4,0.6,238,53,617.3
DIC,11,1,0.009,0.009,0.550,0.041,22,22,16.5,0.5,203,58,617.2
DIC,11,2,0.0055,0.0094,0.580,0.043,42,46,15.6,0.6,161,62,616.9
DIC,11,3,0.0122,0.0091,0.340,0.0288,42,16,14.2,1.1,242,67,616.6
DIC,11,4,0.0144,0.0091,0.290,0.0263,15,10,13.5,0.7,203,69,616.4
DIC,11,5,0.014,0.0093,0.290,0.0263,14,18,12.9,0.6,125,72,616.4
DIC,11,6,0.0126,0.0088,0.330,0.0256,11,6,12.7,0.6,98,74,616.5
DIC,11,7,0.0105,0.0087,0.410,0.0278,12,3,12.5,0.7,248,75,616.6
DIC,11,8,0.0048,0.0089,0.690,0.0354,15,11,12.8,0.6,207,73,616.9
DIC,11,9,0.0079,0.0089,0.750,0.0331,32,2,15.2,1,243,64,617.3
DIC,11,10,0.0136,0.0094,0.930,0.0383,43,2,18.4,0.6,139,53,617.5
DIC,11,11,0.022,0.0089,0.810,0.0403,40,19,19.8,1.1,190,48,617.5
DIC,11,12,0.027,0.0094,0.610,0.0359,47,18,21.3,1.3,205,44,616.9
DIC,11,13,0.0264,0.0093,0.310,0.0243,47,13,23,1.6,242,36,616.2
DIC,11,14,0.0196,0.0086,0.200,0.0215,NA,37,24.1,2.3,272,32,615.3
DIC,11,15,0.0221,0.0084,0.200,0.02,NA,11,24.3,2.5,284,32,614.6
DIC,11,16,0.0231,0.0083,0.240,0.021,11,5,24.7,1.8,269,31,614.3
DIC,11,17,0.0213,0.0083,0.280,0.0227,16,12,24.5,2,288,31,614.3
DIC,11,18,0.0196,0.0085,0.320,0.0236,20,6,24.5,2.4,289,31,614.4
DIC,11,19,0.0111,0.0086,0.570,0.033,21,10,22.9,1.8,276,34,614.8
DIC,11,20,0.0063,0.0088,0.810,0.04,35,11,21.5,1.8,279,38,615.1
DIC,11,21,0.0034,0.0089,1.010,0.0427,64,18,19.9,0.4,102,43,615.6
DIC,11,22,0.0035,0.0091,1.100,0.0428,52,11,19.5,0.6,100,44,616
DIC,11,23,0.0026,0.0092,1.120,0.0426,59,17,18,0.5,140,50,616.3
DIC,12,0,0.0064,0.0086,0.410,0.0349,53,14,16.9,1.1,237,52,616.3
DIC,12,1,0.0098,0.0084,0.290,0.0308,24,9,16.3,0.8,285,55,616.1
DIC,12,2,0.01,0.0083,0.280,0.03,15,3,15.5,0.7,176,59,616.1
DIC,12,3,0.0108,0.0084,0.210,0.027,15,8,14.4,0.7,113,63,615.8
DIC,12,4,0.0112,0.0083,0.200,0.0247,12,8,14.1,0.5,99,64,615.7
DIC,12,5,0.0119,0.0083,0.170,0.023,14,5,13.7,0.8,216,66,615.8
DIC,12,6,0.0121,0.0082,0.190,0.0217,12,4,13.4,0.5,191,68,615.9
DIC,12,7,0.0081,0.0083,0.340,0.0274,9,1,13.4,0.5,173,69,616.2
DIC,12,8,0.0047,0.0085,0.510,0.0329,15,11,13.7,0.6,232,69,616.7
DIC,12,9,0.0076,0.0086,0.650,0.0315,24,3,16.4,0.8,236,60,617.1
DIC,12,10,0.0124,0.0085,0.860,0.0386,37,9,19.4,0.8,211,52,617.4
DIC,12,11,0.016,0.009,1.100,0.051,43,32,20.1,1,195,49,617.3
DIC,12,12,0.0298,0.0089,0.670,0.0393,76,22,21.9,1,166,45,616.8
DIC,12,13,0.0312,0.009,0.340,0.0254,78,12,23,1.4,207,41,616
DIC,12,14,0.0341,0.0091,0.330,0.0237,25,5,24.1,1.7,217,38,615.1
DIC,12,15,0.033,0.0089,0.370,0.0241,26,11,24.9,2.2,215,35,614.3
DIC,12,16,0.0291,0.0089,0.390,0.0239,33,13,25.3,2.3,218,32,613.9
DIC,12,17,0.0272,0.0088,0.380,0.0219,27,7,25.3,2.1,223,30,613.9
DIC,12,18,0.0226,0.0086,0.360,0.0204,22,11,24.9,1.9,238,25,614.1
DIC,12,19,0.0139,0.0087,0.590,0.0282,19,14,22.9,1.5,240,30,614.4
DIC,12,20,0.0142,0.009,0.630,0.0291,41,6,22,1.7,272,33,615
DIC,12,21,0.0075,0.0085,1.020,0.0389,30,10,20.5,1.1,205,38,615.4
DIC,12,22,0.0034,0.0089,1.210,0.0466,58,14,19.3,0.5,259,43,615.8
