DATOS HORARIOS 2023_T-21 ,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WD
NOVIEMBRE,5,23,NA,0.008,0.013,28,14,19.75,338.1
NOVIEMBRE,6,0,NA,0.009,0.026,17,13,18.81,224.1
NOVIEMBRE,6,1,NA,0.008,0.031,46,31,16.23,195.6
NOVIEMBRE,6,2,NA,0.008,0.029,46,29,14.31,198.1
NOVIEMBRE,6,3,NA,0.007,0.015,26,15,14.01,226.5
NOVIEMBRE,6,4,NA,0.007,0.018,16,11,14.00,187.8
NOVIEMBRE,6,5,NA,0.009,0.026,19,16,13.29,191.4
NOVIEMBRE,6,6,NA,0.008,0.022,20,26,10.91,203.7
NOVIEMBRE,6,7,NA,0.008,0.028,19,18,10.95,174.8
NOVIEMBRE,6,8,NA,0.009,0.031,26,16,11.09,177.2
NOVIEMBRE,6,9,NA,0.009,0.035,44,13,12.07,157.6
NOVIEMBRE,6,10,NA,0.010,0.027,NA,19,14.12,199.2
NOVIEMBRE,6,11,NA,0.010,0.020,71,16,16.24,203.1
NOVIEMBRE,6,12,NA,0.009,0.017,52,9,19.22,200.6
NOVIEMBRE,6,13,NA,0.008,0.013,NA,4,21.72,226.4
NOVIEMBRE,6,14,NA,0.008,0.009,33,11,23.76,171
NOVIEMBRE,6,15,NA,0.009,0.012,29,11,25.94,195.5
NOVIEMBRE,6,16,NA,0.010,0.011,36,10,27.08,198.4
NOVIEMBRE,6,17,NA,0.009,0.016,33,12,27.64,202.2
NOVIEMBRE,6,18,NA,0.008,0.027,34,8,27.70,204.9
NOVIEMBRE,6,19,NA,0.009,0.056,51,16,27.08,207.9
NOVIEMBRE,6,20,NA,0.011,0.062,120,38,25.41,215.7
NOVIEMBRE,6,21,NA,0.009,0.050,92,30,24.41,196.3
NOVIEMBRE,6,22,NA,0.009,0.049,61,19,22.98,71.8
NOVIEMBRE,6,23,NA,0.009,0.039,50,19,21.30,190.9
NOVIEMBRE,7,0,NA,0.009,0.033,37,24,20.39,198.6
NOVIEMBRE,7,1,NA,0.017,0.044,59,40,19.42,191
NOVIEMBRE,7,2,NA,0.013,0.037,95,41,17.18,198.6
NOVIEMBRE,7,3,NA,0.008,0.032,67,32,15.58,133.6
NOVIEMBRE,7,4,NA,0.007,0.025,49,21,15.22,160.9
NOVIEMBRE,7,5,NA,0.007,0.022,46,12,15.91,27
NOVIEMBRE,7,6,NA,0.008,0.029,41,12,16.09,105.3
NOVIEMBRE,7,7,NA,0.014,0.034,53,32,15.04,228.2
NOVIEMBRE,7,8,NA,0.012,0.036,72,35,13.23,177.1
NOVIEMBRE,7,9,NA,0.011,0.044,91,26,14.05,179.8
NOVIEMBRE,7,10,NA,0.012,0.063,74,22,17.46,212.3
NOVIEMBRE,7,11,NA,0.013,0.037,115,24,20.19,228.9
NOVIEMBRE,7,12,NA,0.010,0.013,77,16,22.79,195.2
NOVIEMBRE,7,13,NA,0.012,0.011,38,7,24.77,197.7
NOVIEMBRE,7,14,NA,0.011,0.012,39,12,26.41,197.7
NOVIEMBRE,7,15,NA,0.009,0.010,40,12,28.01,179.1
NOVIEMBRE,7,16,NA,0.008,0.010,33,12,28.82,185.6
NOVIEMBRE,7,17,NA,0.007,0.013,40,NA,29.43,185.1
NOVIEMBRE,7,18,NA,0.006,0.020,30,6,29.41,272.5
NOVIEMBRE,7,19,NA,0.007,0.048,45,11,28.69,300
NOVIEMBRE,7,20,NA,0.008,0.051,70,25,27.19,244.2
NOVIEMBRE,7,21,NA,0.008,0.047,60,28,25.41,153.5
NOVIEMBRE,7,22,NA,0.010,0.047,57,29,23.88,151.4
NOVIEMBRE,7,23,NA,0.008,0.043,61,25,22.65,124.9
NOVIEMBRE,8,0,NA,0.013,0.045,70,35,21.00,238.9
NOVIEMBRE,8,1,NA,0.011,0.042,106,51,19.58,108.5
NOVIEMBRE,8,2,NA,0.010,0.033,74,26,19.05,50.1
NOVIEMBRE,8,3,NA,0.009,0.033,45,16,18.21,166.2
NOVIEMBRE,8,4,NA,0.008,0.030,61,31,16.95,23
NOVIEMBRE,8,5,NA,0.006,0.015,45,9,16.54,22
NOVIEMBRE,8,6,NA,0.006,0.021,33,10,16.06,19
NOVIEMBRE,8,7,NA,0.007,0.038,30,17,15.74,72.6
NOVIEMBRE,8,8,NA,0.008,0.042,52,20,15.44,67.6
NOVIEMBRE,8,9,NA,0.008,0.040,69,24,15.49,42.2
NOVIEMBRE,8,10,NA,0.008,0.030,56,23,17.79,109.4
NOVIEMBRE,8,11,NA,0.008,0.032,55,25,20.48,169.1
NOVIEMBRE,8,12,NA,0.008,0.014,78,28,22.56,182.8
NOVIEMBRE,8,13,NA,0.008,0.015,48,20,23.95,222.3
NOVIEMBRE,8,14,NA,0.008,0.013,55,19,25.51,197.9
NOVIEMBRE,8,15,NA,0.008,0.015,52,17,27.63,238
NOVIEMBRE,8,16,NA,0.008,0.014,53,17,28.69,193.8
NOVIEMBRE,8,17,NA,0.009,0.017,51,11,29.42,207
NOVIEMBRE,8,18,NA,0.010,0.031,49,20,29.24,194.7
NOVIEMBRE,8,19,NA,0.011,0.078,60,27,28.49,200.6
NOVIEMBRE,8,20,NA,0.015,0.088,159,46,26.81,155.8
NOVIEMBRE,8,21,NA,0.019,0.084,180,60,25.28,115.9
NOVIEMBRE,8,22,NA,0.012,0.069,149,53,23.95,154.1
NOVIEMBRE,8,23,NA,0.011,0.070,120,40,22.66,123.4
NOVIEMBRE,9,0,NA,0.008,0.054,111,38,21.71,93.1
NOVIEMBRE,9,1,NA,0.009,0.058,69,32,20.63,206.3
NOVIEMBRE,9,2,NA,0.012,0.054,104,36,19.27,63.2
NOVIEMBRE,9,3,NA,0.009,0.023,84,26,18.66,75.4
NOVIEMBRE,9,4,NA,0.007,0.016,54,20,18.16,122.4
NOVIEMBRE,9,5,NA,0.006,0.015,41,7,17.84,92.9
NOVIEMBRE,9,6,NA,0.008,0.042,35,22,17.54,211.9
NOVIEMBRE,9,7,NA,0.009,0.044,74,56,15.83,187.9
NOVIEMBRE,9,8,NA,0.009,0.044,94,42,15.60,173.5
NOVIEMBRE,9,9,NA,0.010,0.039,87,24,16.83,249.6
NOVIEMBRE,9,10,NA,0.007,0.019,109,18,18.41,299
NOVIEMBRE,9,11,NA,0.006,0.014,48,15,19.39,278.9
NOVIEMBRE,9,12,NA,0.006,0.010,39,15,20.56,234.4
NOVIEMBRE,9,13,NA,0.006,0.010,36,17,22.20,197.4
NOVIEMBRE,9,14,NA,0.006,0.010,41,15,23.90,197
NOVIEMBRE,9,15,NA,0.007,0.010,49,22,25.59,202.9
NOVIEMBRE,9,16,NA,0.008,0.012,42,21,27.12,221.1
NOVIEMBRE,9,17,NA,0.007,0.017,46,16,27.04,289.4
NOVIEMBRE,9,18,NA,0.006,0.027,36,18,26.38,322.3
NOVIEMBRE,9,19,NA,0.006,0.040,51,34,25.59,267.4
NOVIEMBRE,9,20,NA,0.008,0.047,46,34,24.88,205.3
NOVIEMBRE,9,21,NA,0.007,0.019,108,34,23.83,111.3
NOVIEMBRE,9,22,NA,0.006,0.019,54,23,21.32,185
NOVIEMBRE,9,23,NA,0.006,0.022,43,24,19.68,186.5
NOVIEMBRE,10,0,NA,0.006,0.025,31,22,19.32,171.3
NOVIEMBRE,10,1,NA,0.006,0.020,46,32,19.30,170.7
NOVIEMBRE,10,2,NA,0.007,0.011,31,23,18.59,138.4
NOVIEMBRE,10,3,NA,0.007,0.017,22,20,18.50,173.9
NOVIEMBRE,10,4,NA,0.007,0.020,34,21,18.06,171.6
NOVIEMBRE,10,5,NA,0.006,0.024,32,27,17.21,189.6
NOVIEMBRE,10,6,NA,0.007,0.033,33,28,16.39,109
NOVIEMBRE,10,7,NA,0.008,0.034,37,26,16.12,149.1
NOVIEMBRE,10,8,NA,0.009,0.035,54,33,16.45,202.3
NOVIEMBRE,10,9,NA,0.009,0.031,82,35,16.15,168.5
NOVIEMBRE,10,10,NA,0.009,0.019,77,35,17.60,144.6
NOVIEMBRE,10,11,NA,0.009,0.013,50,16,19.74,157
NOVIEMBRE,10,12,NA,0.008,0.011,38,10,21.40,129.9
NOVIEMBRE,10,13,NA,0.008,0.011,36,5,23.10,158.4
NOVIEMBRE,10,14,NA,0.007,0.012,38,11,24.36,126
NOVIEMBRE,10,15,NA,0.007,0.010,35,14,25.65,121.5
NOVIEMBRE,10,16,NA,0.007,0.010,33,16,25.98,179.4
NOVIEMBRE,10,17,NA,0.006,0.013,35,11,26.79,217.5
NOVIEMBRE,10,18,NA,0.007,0.015,109,18,23.55,228.6
NOVIEMBRE,10,19,NA,0.007,0.027,26,12,16.67,246.8
NOVIEMBRE,10,20,NA,0.006,0.028,13,11,16.50,158.8
NOVIEMBRE,10,21,NA,0.006,0.031,17,12,16.78,115.4
NOVIEMBRE,10,22,NA,0.006,0.030,13,13,17.33,159.4
NOVIEMBRE,10,23,NA,0.006,0.031,13,11,17.58,231.7
NOVIEMBRE,11,0,NA,0.006,0.028,23,21,16.72,211
NOVIEMBRE,11,1,NA,0.006,0.019,23,26,16.34,207.4
NOVIEMBRE,11,2,NA,0.005,0.016,19,23,16.48,254.7
NOVIEMBRE,11,3,NA,0.005,0.021,15,17,16.59,203.7
NOVIEMBRE,11,4,NA,0.005,0.025,20,18,16.34,197.3
NOVIEMBRE,11,5,NA,0.006,0.027,22,20,16.04,177.4
NOVIEMBRE,11,6,NA,0.006,0.022,20,22,15.74,185.3
NOVIEMBRE,11,7,NA,0.006,0.025,28,17,15.35,259.3
NOVIEMBRE,11,8,NA,0.006,0.025,30,21,15.39,153.3
NOVIEMBRE,11,9,NA,0.006,0.028,37,19,16.11,183.8
NOVIEMBRE,11,10,NA,0.007,0.033,46,30,16.90,213.1
NOVIEMBRE,11,11,NA,0.006,0.028,44,27,18.67,212.3
NOVIEMBRE,11,12,NA,0.006,0.017,48,19,20.13,207
NOVIEMBRE,11,13,NA,0.006,0.011,44,15,21.36,147.8
NOVIEMBRE,11,14,NA,0.006,0.010,28,9,23.62,151
NOVIEMBRE,11,15,NA,0.006,0.010,27,7,25.13,129.1
NOVIEMBRE,11,16,NA,0.005,0.010,24,9,25.74,151.6
NOVIEMBRE,11,17,NA,0.005,0.010,19,6,25.45,183.4
NOVIEMBRE,11,18,NA,0.005,0.017,20,5,25.31,212.3
NOVIEMBRE,11,19,NA,0.005,0.018,20,17,24.42,106.1
NOVIEMBRE,11,20,NA,0.005,0.023,24,18,22.28,94.5
NOVIEMBRE,11,21,NA,0.005,0.025,23,22,21.74,258.7
NOVIEMBRE,11,22,NA,0.005,0.018,28,19,20.64,165.9
NOVIEMBRE,11,23,NA,0.005,0.013,28,17,18.83,154.5
NOVIEMBRE,12,0,NA,0.005,0.012,14,10,16.84,73.5
NOVIEMBRE,12,1,NA,0.005,0.011,12,11,16.07,273.5
NOVIEMBRE,12,2,NA,0.005,0.009,11,8,16.35,201.8
NOVIEMBRE,12,3,NA,0.005,0.013,7,6,16.58,163
NOVIEMBRE,12,4,NA,0.005,0.014,5,13,16.42,213.8
NOVIEMBRE,12,5,NA,0.005,0.013,7,14,15.43,220.7
NOVIEMBRE,12,6,NA,0.005,0.015,9,16,15.04,192.6
NOVIEMBRE,12,7,NA,0.005,0.017,5,12,14.74,196.1
NOVIEMBRE,12,8,NA,0.005,0.013,4,13,14.26,178.9
NOVIEMBRE,12,9,NA,0.005,0.013,6,18,14.02,189.6
NOVIEMBRE,12,10,NA,0.006,0.009,10,20,15.07,154.4
NOVIEMBRE,12,11,NA,0.005,0.008,11,15,16.67,137.1
NOVIEMBRE,12,12,NA,0.005,0.008,11,8,18.93,171.8
NOVIEMBRE,12,13,NA,0.005,0.008,12,6,20.26,255
NOVIEMBRE,12,14,NA,0.005,0.011,16,15,21.11,252.8
NOVIEMBRE,12,15,NA,0.006,0.008,41,21,22.26,196
NOVIEMBRE,12,16,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,12,17,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,12,18,NA,NA,0.009,NA,10,24.46,148
NOVIEMBRE,12,19,NA,0.009,0.027,17,25,23.79,56.2
NOVIEMBRE,12,20,NA,0.009,0.031,21,24,22.29,133.1
NOVIEMBRE,12,21,NA,0.009,0.021,33,21,21.31,226.3
NOVIEMBRE,12,22,NA,0.009,0.020,32,18,20.58,239.6
NOVIEMBRE,12,23,NA,0.009,0.020,20,14,17.68,271
NOVIEMBRE,13,0,NA,0.009,0.028,13,11,17.21,189.8
NOVIEMBRE,13,1,NA,0.008,0.024,19,21,17.02,211
NOVIEMBRE,13,2,NA,0.006,0.016,9,15,16.74,215.1
NOVIEMBRE,13,3,NA,0.007,0.015,8,13,16.17,166.7
NOVIEMBRE,13,4,NA,0.007,0.014,9,13,15.22,142.6
NOVIEMBRE,13,5,NA,0.007,0.014,9,11,14.58,162.6
NOVIEMBRE,13,6,NA,0.007,0.013,8,9,14.32,182.5
NOVIEMBRE,13,7,NA,0.009,0.014,11,13,14.21,196.7
NOVIEMBRE,13,8,NA,0.010,0.015,18,16,13.85,195.7
NOVIEMBRE,13,9,NA,0.009,0.015,29,13,13.89,195.2
NOVIEMBRE,13,10,NA,0.008,0.013,19,9,15.31,174.7
NOVIEMBRE,13,11,NA,0.007,0.015,19,7,17.78,202.8
NOVIEMBRE,13,12,NA,0.007,0.013,28,7,19.60,193.6
NOVIEMBRE,13,13,NA,0.007,0.017,28,6,20.85,207.8
NOVIEMBRE,13,14,NA,0.007,0.017,29,13,21.71,216.3
NOVIEMBRE,13,15,NA,0.007,0.012,37,14,23.03,184.4
NOVIEMBRE,13,16,NA,0.007,0.015,29,12,23.91,235.1
NOVIEMBRE,13,17,NA,0.007,0.018,32,12,24.18,253.9
NOVIEMBRE,13,18,NA,0.008,0.023,43,21,24.46,214.5
NOVIEMBRE,13,19,NA,0.008,0.026,35,14,23.45,110.6
NOVIEMBRE,13,20,NA,0.008,0.026,32,16,21.63,170.1
NOVIEMBRE,13,21,NA,0.008,0.023,28,14,20.34,291.3
NOVIEMBRE,13,22,NA,0.007,0.017,23,12,19.67,301.4
NOVIEMBRE,13,23,NA,0.007,0.016,15,14,19.07,240.6
NOVIEMBRE,14,0,NA,0.007,0.022,13,14,18.65,235.4
NOVIEMBRE,14,1,NA,0.007,0.022,29,29,17.19,182
NOVIEMBRE,14,2,NA,0.006,0.019,24,23,15.94,190.2
NOVIEMBRE,14,3,NA,0.006,0.018,16,14,15.27,196
NOVIEMBRE,14,4,NA,0.006,0.018,18,13,14.67,200.8
NOVIEMBRE,14,5,NA,0.006,0.015,15,12,14.42,199.3
NOVIEMBRE,14,6,NA,0.006,0.014,12,9,13.87,224.2
NOVIEMBRE,14,7,NA,0.008,0.016,9,12,13.45,202.2
NOVIEMBRE,14,8,NA,0.008,0.016,40,19,13.05,201.7
NOVIEMBRE,14,9,NA,0.008,0.012,34,11,13.18,200.7
NOVIEMBRE,14,10,NA,0.008,0.013,35,6,14.26,197.7
NOVIEMBRE,14,11,NA,0.008,0.011,36,11,16.51,201.4
NOVIEMBRE,14,12,NA,0.007,0.012,33,8,18.65,195.6
NOVIEMBRE,14,13,NA,0.007,0.015,34,9,20.13,180.3
NOVIEMBRE,14,14,NA,0.007,0.014,32,8,21.80,118.8
NOVIEMBRE,14,15,NA,0.006,0.015,28,7,23.50,175
NOVIEMBRE,14,16,NA,0.007,0.014,32,18,24.67,205.2
NOVIEMBRE,14,17,NA,0.008,0.012,31,17,25.33,161.3
NOVIEMBRE,14,18,NA,0.007,0.015,26,7,24.43,42.7
NOVIEMBRE,14,19,NA,0.006,0.022,21,4,23.51,30
NOVIEMBRE,14,20,NA,0.007,0.032,21,12,22.52,146.2
NOVIEMBRE,14,21,NA,0.007,0.028,33,14,21.17,266
NOVIEMBRE,14,22,NA,0.006,0.025,24,9,20.12,141.3
NOVIEMBRE,14,23,NA,0.006,0.023,16,14,19.39,226.7
NOVIEMBRE,15,0,NA,0.006,0.018,31,23,17.89,211.4
NOVIEMBRE,15,1,NA,0.006,0.013,18,20,16.64,212.5
NOVIEMBRE,15,2,NA,0.006,0.010,10,8,15.35,197.2
NOVIEMBRE,15,3,NA,0.006,0.013,11,9,14.50,203.1
NOVIEMBRE,15,4,NA,0.006,0.018,12,11,13.53,205.9
NOVIEMBRE,15,5,NA,0.006,0.015,13,13,12.96,214.6
NOVIEMBRE,15,6,NA,0.006,0.014,10,7,12.55,223.7
NOVIEMBRE,15,7,NA,0.006,0.018,7,7,12.41,211.4
NOVIEMBRE,15,8,NA,0.008,0.019,29,16,12.31,196.1
NOVIEMBRE,15,9,NA,0.009,0.021,55,28,12.04,213.5
NOVIEMBRE,15,10,NA,0.009,0.023,58,25,13.76,218
NOVIEMBRE,15,11,NA,0.008,0.017,58,18,16.11,219.9
NOVIEMBRE,15,12,NA,0.008,0.015,44,16,18.07,211.3
NOVIEMBRE,15,13,NA,0.008,0.011,37,9,20.06,200
NOVIEMBRE,15,14,NA,0.007,0.013,23,NA,22.15,192.8
NOVIEMBRE,15,15,NA,0.008,0.016,33,16,24.16,176.7
NOVIEMBRE,15,16,NA,0.008,0.012,34,13,25.36,224.2
NOVIEMBRE,15,17,NA,0.006,0.010,25,NA,26.21,224.8
NOVIEMBRE,15,18,NA,0.006,0.016,16,NA,26.30,172.1
NOVIEMBRE,15,19,NA,0.006,0.027,25,6,25.51,71.2
NOVIEMBRE,15,20,NA,0.006,0.027,21,13,24.26,236.9
NOVIEMBRE,15,21,NA,0.006,0.025,24,17,22.87,301
NOVIEMBRE,15,22,NA,0.006,0.019,24,15,21.62,321.6
NOVIEMBRE,15,23,NA,0.006,0.019,25,16,20.53,221.3
NOVIEMBRE,16,0,NA,0.006,0.016,24,14,19.43,326.4
NOVIEMBRE,16,1,NA,0.006,0.022,16,14,18.86,215.5
NOVIEMBRE,16,2,NA,0.006,0.020,21,27,16.70,201.7
NOVIEMBRE,16,3,NA,0.006,0.011,26,20,15.78,201.2
NOVIEMBRE,16,4,NA,0.006,0.014,20,14,15.44,153.1
NOVIEMBRE,16,5,NA,0.006,0.017,16,8,14.25,59.6
NOVIEMBRE,16,6,NA,0.007,0.023,19,10,13.84,197.9
NOVIEMBRE,16,7,NA,0.008,0.022,15,9,13.18,48.8
NOVIEMBRE,16,8,NA,0.008,0.022,32,13,13.28,232.5
