DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,21,13,NA,NA,0.007,41
NOVIEMBRE,21,14,NA,NA,0.007,34
NOVIEMBRE,21,15,NA,NA,0.007,31
NOVIEMBRE,21,16,NA,NA,0.007,29
NOVIEMBRE,21,17,NA,NA,0.007,32
NOVIEMBRE,21,18,NA,NA,0.007,36
NOVIEMBRE,21,19,NA,NA,0.007,49
NOVIEMBRE,21,20,NA,NA,0.007,61
NOVIEMBRE,21,21,NA,NA,0.007,65
NOVIEMBRE,21,22,NA,NA,0.007,53
NOVIEMBRE,21,23,NA,NA,0.007,43
NOVIEMBRE,22,0,NA,NA,0.007,38
NOVIEMBRE,22,1,NA,NA,0.007,33
NOVIEMBRE,22,2,NA,NA,0.007,26
NOVIEMBRE,22,3,NA,NA,0.007,18
NOVIEMBRE,22,4,NA,NA,0.007,15
NOVIEMBRE,22,5,NA,NA,0.007,15
NOVIEMBRE,22,6,NA,NA,0.007,14
NOVIEMBRE,22,7,NA,NA,0.007,14
NOVIEMBRE,22,8,NA,NA,0.007,18
NOVIEMBRE,22,9,NA,NA,0.007,21
NOVIEMBRE,22,10,NA,NA,0.007,28
NOVIEMBRE,22,11,NA,NA,0.007,32
NOVIEMBRE,22,12,NA,NA,0.007,34
NOVIEMBRE,22,13,NA,NA,0.007,36
NOVIEMBRE,22,14,NA,NA,0.007,34
NOVIEMBRE,22,15,NA,NA,0.007,32
NOVIEMBRE,22,16,NA,NA,0.007,29
NOVIEMBRE,22,17,NA,NA,0.007,32
NOVIEMBRE,22,18,NA,NA,0.006,35
NOVIEMBRE,22,19,NA,NA,0.006,35
NOVIEMBRE,22,20,NA,NA,0.006,33
NOVIEMBRE,22,21,NA,NA,0.006,31
NOVIEMBRE,22,22,NA,NA,0.006,29
NOVIEMBRE,22,23,NA,NA,0.006,29
NOVIEMBRE,23,0,NA,NA,0.006,29
NOVIEMBRE,23,1,NA,NA,0.006,25
NOVIEMBRE,23,2,NA,NA,0.006,26
NOVIEMBRE,23,3,NA,NA,0.006,27
NOVIEMBRE,23,4,NA,NA,0.006,28
NOVIEMBRE,23,5,NA,NA,0.007,31
NOVIEMBRE,23,6,NA,NA,0.007,28
NOVIEMBRE,23,7,NA,NA,0.007,26
NOVIEMBRE,23,8,NA,NA,0.007,39
NOVIEMBRE,23,9,NA,NA,0.007,71
NOVIEMBRE,23,10,NA,NA,0.007,82
NOVIEMBRE,23,11,NA,NA,0.007,63
NOVIEMBRE,23,12,NA,NA,0.007,45
NOVIEMBRE,23,13,NA,NA,0.007,33
NOVIEMBRE,23,14,NA,NA,0.007,32
NOVIEMBRE,23,15,NA,NA,0.007,33
NOVIEMBRE,23,16,NA,NA,0.007,37
NOVIEMBRE,23,17,NA,NA,0.007,31
NOVIEMBRE,23,18,NA,NA,0.007,31
NOVIEMBRE,23,19,NA,NA,0.007,33
NOVIEMBRE,23,20,NA,NA,0.007,44
NOVIEMBRE,23,21,NA,NA,0.007,51
NOVIEMBRE,23,22,NA,NA,0.007,52
NOVIEMBRE,23,23,NA,NA,0.007,43
NOVIEMBRE,24,0,NA,NA,0.007,43
NOVIEMBRE,24,1,NA,NA,0.007,22
NOVIEMBRE,24,2,NA,NA,0.007,15
NOVIEMBRE,24,3,NA,NA,0.007,13
NOVIEMBRE,24,4,NA,NA,0.007,14
NOVIEMBRE,24,5,NA,NA,0.007,11
NOVIEMBRE,24,6,NA,NA,0.007,12
NOVIEMBRE,24,7,NA,NA,0.007,14
NOVIEMBRE,24,8,NA,NA,0.007,21
NOVIEMBRE,24,9,NA,NA,0.007,24
NOVIEMBRE,24,10,NA,NA,0.006,24
NOVIEMBRE,24,11,NA,NA,0.006,#¡VALOR!
NOVIEMBRE,24,12,NA,NA,0.006,#¡VALOR!
NOVIEMBRE,24,13,NA,NA,0.006,#¡VALOR!
NOVIEMBRE,24,14,NA,NA,0.006,19
NOVIEMBRE,24,15,NA,NA,0.007,20
NOVIEMBRE,24,16,NA,NA,0.007,24
NOVIEMBRE,24,17,NA,NA,0.007,22
NOVIEMBRE,24,18,NA,NA,0.007,20
NOVIEMBRE,24,19,NA,NA,0.007,21
NOVIEMBRE,24,20,NA,NA,0.007,45
NOVIEMBRE,24,21,NA,NA,0.008,75
NOVIEMBRE,24,22,NA,NA,0.008,70
NOVIEMBRE,24,23,NA,NA,0.008,65
NOVIEMBRE,25,0,NA,NA,0.008,56
NOVIEMBRE,25,1,NA,NA,0.008,44
NOVIEMBRE,25,2,NA,NA,0.008,31
NOVIEMBRE,25,3,NA,NA,0.008,57
NOVIEMBRE,25,4,NA,NA,0.008,65
NOVIEMBRE,25,5,NA,NA,0.008,44
NOVIEMBRE,25,6,NA,NA,0.008,42
NOVIEMBRE,25,7,NA,NA,0.008,39
NOVIEMBRE,25,8,NA,NA,0.008,57
NOVIEMBRE,25,9,NA,NA,0.008,67
NOVIEMBRE,25,10,NA,NA,0.009,59
NOVIEMBRE,25,11,NA,NA,0.009,66
NOVIEMBRE,25,12,NA,NA,0.010,73
NOVIEMBRE,25,13,NA,NA,0.010,60
NOVIEMBRE,25,14,NA,NA,0.010,46
NOVIEMBRE,25,15,NA,NA,0.009,38
NOVIEMBRE,25,16,NA,NA,0.009,34
NOVIEMBRE,25,17,NA,NA,0.009,29
NOVIEMBRE,25,18,NA,NA,0.009,24
NOVIEMBRE,25,19,NA,NA,0.009,22
NOVIEMBRE,25,20,NA,NA,0.009,45
NOVIEMBRE,25,21,NA,NA,0.009,73
NOVIEMBRE,25,22,NA,NA,0.009,66
NOVIEMBRE,25,23,NA,NA,0.009,63
NOVIEMBRE,26,0,NA,NA,0.009,56
NOVIEMBRE,26,1,NA,NA,0.009,51
NOVIEMBRE,26,2,NA,NA,0.009,48
NOVIEMBRE,26,3,NA,NA,0.009,37
NOVIEMBRE,26,4,NA,NA,0.009,35
NOVIEMBRE,26,5,NA,NA,0.008,29
NOVIEMBRE,26,6,NA,NA,0.008,21
NOVIEMBRE,26,7,NA,NA,0.008,18
NOVIEMBRE,26,8,NA,NA,0.008,17
NOVIEMBRE,26,9,NA,NA,0.008,27
NOVIEMBRE,26,10,NA,NA,0.008,50
NOVIEMBRE,26,11,NA,NA,0.007,56
NOVIEMBRE,26,12,NA,NA,0.007,42
NOVIEMBRE,26,13,NA,NA,0.007,29
NOVIEMBRE,26,14,NA,NA,0.007,21
NOVIEMBRE,26,15,NA,NA,0.007,17
NOVIEMBRE,26,16,NA,NA,0.007,18
NOVIEMBRE,26,17,NA,NA,0.007,16
NOVIEMBRE,26,18,NA,NA,0.007,13
NOVIEMBRE,26,19,NA,NA,0.007,15
NOVIEMBRE,26,20,NA,NA,0.006,29
NOVIEMBRE,26,21,NA,NA,0.006,52
NOVIEMBRE,26,22,NA,NA,0.006,66
NOVIEMBRE,26,23,NA,NA,0.006,59
NOVIEMBRE,27,0,NA,NA,0.006,46
NOVIEMBRE,27,1,NA,NA,0.006,46
NOVIEMBRE,27,2,NA,NA,0.006,38
NOVIEMBRE,27,3,NA,NA,0.006,37
NOVIEMBRE,27,4,NA,NA,0.007,46
NOVIEMBRE,27,5,NA,NA,0.007,47
NOVIEMBRE,27,6,NA,NA,0.007,43
NOVIEMBRE,27,7,NA,NA,0.007,39
NOVIEMBRE,27,8,NA,NA,0.007,44
NOVIEMBRE,27,9,NA,NA,0.007,62
NOVIEMBRE,27,10,NA,NA,0.007,93
NOVIEMBRE,27,11,NA,NA,0.008,94
NOVIEMBRE,27,12,NA,NA,0.008,86
NOVIEMBRE,27,13,NA,NA,0.008,69
NOVIEMBRE,27,14,NA,NA,0.008,48
NOVIEMBRE,27,15,NA,NA,0.008,39
NOVIEMBRE,27,16,NA,NA,0.008,35
NOVIEMBRE,27,17,NA,NA,0.008,34
NOVIEMBRE,27,18,NA,NA,0.008,44
NOVIEMBRE,27,19,NA,NA,0.009,66
NOVIEMBRE,27,20,NA,NA,0.009,69
NOVIEMBRE,27,21,NA,NA,0.009,57
NOVIEMBRE,27,22,NA,NA,0.009,71
NOVIEMBRE,27,23,NA,NA,0.009,70
NOVIEMBRE,28,0,NA,NA,0.009,61
NOVIEMBRE,28,1,NA,NA,0.009,68
NOVIEMBRE,28,2,NA,NA,0.009,59
NOVIEMBRE,28,3,NA,NA,0.009,53
NOVIEMBRE,28,4,NA,NA,0.009,48
NOVIEMBRE,28,5,NA,NA,0.009,43
NOVIEMBRE,28,6,NA,NA,0.009,43
NOVIEMBRE,28,7,NA,NA,0.009,39
NOVIEMBRE,28,8,NA,NA,0.009,35
NOVIEMBRE,28,9,NA,NA,0.009,39
NOVIEMBRE,28,10,NA,NA,0.008,45
NOVIEMBRE,28,11,0.015,NA,0.008,54
NOVIEMBRE,28,12,0.020,NA,0.008,48
NOVIEMBRE,28,13,0.025,NA,0.008,41
NOVIEMBRE,28,14,0.028,NA,0.008,36
NOVIEMBRE,28,15,0.029,NA,0.008,33
NOVIEMBRE,28,16,0.027,0.024,0.008,34
NOVIEMBRE,28,17,0.024,0.024,0.008,30
NOVIEMBRE,28,18,0.018,0.023,0.008,25
NOVIEMBRE,28,19,0.005,0.022,0.008,36
NOVIEMBRE,28,20,0.003,0.020,0.008,79
NOVIEMBRE,28,21,0.006,0.017,0.008,84
NOVIEMBRE,28,22,0.009,0.015,0.008,65
NOVIEMBRE,28,23,0.010,0.013,0.008,47
NOVIEMBRE,29,0,0.008,0.010,0.008,35
NOVIEMBRE,29,1,0.012,0.009,0.008,35
NOVIEMBRE,29,2,0.006,0.007,0.008,30
NOVIEMBRE,29,3,0.005,0.007,0.008,24
NOVIEMBRE,29,4,0.006,0.008,0.008,25
NOVIEMBRE,29,5,0.006,0.008,0.008,21
NOVIEMBRE,29,6,0.004,0.007,0.008,20
NOVIEMBRE,29,7,0.004,0.006,0.008,20
NOVIEMBRE,29,8,0.003,0.006,0.008,22
NOVIEMBRE,29,9,0.006,0.005,0.007,33
NOVIEMBRE,29,10,0.006,0.005,0.007,32
NOVIEMBRE,29,11,0.011,0.006,0.008,48
NOVIEMBRE,29,12,0.017,0.007,0.008,43
NOVIEMBRE,29,13,0.022,0.009,0.008,36
NOVIEMBRE,29,14,0.023,0.011,0.008,33
NOVIEMBRE,29,15,0.024,0.014,0.008,30
NOVIEMBRE,29,16,0.023,0.016,0.008,30
NOVIEMBRE,29,17,0.022,0.018,0.008,36
NOVIEMBRE,29,18,0.020,0.020,0.008,38
NOVIEMBRE,29,19,0.016,0.021,0.008,47
NOVIEMBRE,29,20,0.012,0.020,0.007,43
NOVIEMBRE,29,21,0.010,0.019,0.007,37
NOVIEMBRE,29,22,0.012,0.017,0.007,36
NOVIEMBRE,29,23,0.009,0.015,0.007,36
NOVIEMBRE,30,0,0.012,0.014,0.007,33
NOVIEMBRE,30,1,0.012,0.013,0.007,26
NOVIEMBRE,30,2,0.010,0.012,0.007,21
NOVIEMBRE,30,3,0.014,0.011,0.007,17
NOVIEMBRE,30,4,0.012,0.011,0.007,14
NOVIEMBRE,30,5,0.010,0.011,0.007,12
NOVIEMBRE,30,6,0.007,0.011,0.007,12
NOVIEMBRE,30,7,0.005,0.010,0.007,12
NOVIEMBRE,30,8,0.003,0.009,0.007,12
NOVIEMBRE,30,9,0.004,0.008,0.007,12
NOVIEMBRE,30,10,0.010,0.008,0.007,14
NOVIEMBRE,30,11,0.014,0.008,0.007,16
NOVIEMBRE,30,12,0.017,0.009,0.007,22
NOVIEMBRE,30,13,0.019,0.010,0.007,24
NOVIEMBRE,30,14,0.019,0.011,0.007,24
NOVIEMBRE,30,15,0.017,0.013,0.007,25
NOVIEMBRE,30,16,0.018,0.015,0.007,19
NOVIEMBRE,30,17,0.017,0.016,0.007,19
NOVIEMBRE,30,18,0.015,0.017,0.007,24
NOVIEMBRE,30,19,0.010,0.016,0.007,28
NOVIEMBRE,30,20,0.008,0.015,0.006,32
NOVIEMBRE,30,21,0.006,0.014,0.006,35
NOVIEMBRE,30,22,0.007,0.012,0.006,34
NOVIEMBRE,30,23,0.008,0.011,0.006,31
